,sequences,sequence_tok
15,But they said Thursday they expect most will comply with Gov . Steve Sisolak ’ s mandate that workers at health care facilities and prisons be vaccinated by Nov .,"['But', 'they', 'said', 'Thursday', 'they', 'expect', 'most', 'will', 'comply', 'with', 'Gov', '.', 'Steve', 'Sisolak', '’', 's', 'mandate', 'that', 'workers', 'at', 'health', 'care', 'facilities', 'and', 'prisons', 'be', 'vaccinated', 'by', 'Nov', '.']"
16,On Monday it announced testing for all residents of Hanoi as it extended lockdown restrictions .,"['On', 'Monday', 'it', 'announced', 'testing', 'for', 'all', 'residents', 'of', 'Hanoi', 'as', 'it', 'extended', 'lockdown', 'restrictions', '.']"
17,"Daily Digest NewsletterGet ahead of the day with the morning headlines at 7.30am and Fionnán Sheahan's exclusive take on the day's news every afternoon , with our free daily newsletter .","['Daily', 'Digest', 'NewsletterGet', 'ahead', 'of', 'the', 'day', 'with', 'the', 'morning', 'headlines', 'at', '7.30am', 'and', 'Fionnán', ""Sheahan's"", 'exclusive', 'take', 'on', 'the', ""day's"", 'news', 'every', 'afternoon', ',', 'with', 'our', 'free', 'daily', 'newsletter', '.']"
18,"Culex mosquitoes are the primary carriers of West Nile.The presence of West Nile is highly dependent on the weather , Young said.Hotter weather , along with areas of stagnant water , can help breed the virus - causing insects.As a result , the LCHD is recommending residents drain standing water from their property , such as in buckets , gutters and kiddie pools .","['Culex', 'mosquitoes', 'are', 'the', 'primary', 'carriers', 'of', 'West', 'Nile.The', 'presence', 'of', 'West', 'Nile', 'is', 'highly', 'dependent', 'on', 'the', 'weather', ',', 'Young', 'said.Hotter', 'weather', ',', 'along', 'with', 'areas', 'of', 'stagnant', 'water', ',', 'can', 'help', 'breed', 'the', 'virus', '-', 'causing', 'insects.As', 'a', 'result', ',', 'the', 'LCHD', 'is', 'recommending', 'residents', 'drain', 'standing', 'water', 'from', 'their', 'property', ',', 'such', 'as', 'in', 'buckets', ',', 'gutters', 'and', 'kiddie', 'pools', '.']"
19,The fear and concern that will naturally arise when a school is labeled as having an outbreak and may have to shut down in whole or part could result in some positives .,"['The', 'fear', 'and', 'concern', 'that', 'will', 'naturally', 'arise', 'when', 'a', 'school', 'is', 'labeled', 'as', 'having', 'an', 'outbreak', 'and', 'may', 'have', 'to', 'shut', 'down', 'in', 'whole', 'or', 'part', 'could', 'result', 'in', 'some', 'positives', '.']"
20,The first occurred in December at its temporary overnight shelter on Blue Spruce Drive .,"['The', 'first', 'occurred', 'in', 'December', 'at', 'its', 'temporary', 'overnight', 'shelter', 'on', 'Blue', 'Spruce', 'Drive', '.']"
21,Both were older than 90 and had underlying health ailments .,"['Both', 'were', 'older', 'than', '90', 'and', 'had', 'underlying', 'health', 'ailments', '.']"
22,"Biden meets Belarus opposition leader , vowing support for democracy US President Joe Biden met Wednesday with Belarus opposition leader Svetlana Tikhanovskaya at the White House , in a strong show of support for pro - democracy protesters who say she won last year's election .","['Biden', 'meets', 'Belarus', 'opposition', 'leader', ',', 'vowing', 'support', 'for', 'democracy', 'US', 'President', 'Joe', 'Biden', 'met', 'Wednesday', 'with', 'Belarus', 'opposition', 'leader', 'Svetlana', 'Tikhanovskaya', 'at', 'the', 'White', 'House', ',', 'in', 'a', 'strong', 'show', 'of', 'support', 'for', 'pro', '-', 'democracy', 'protesters', 'who', 'say', 'she', 'won', 'last', ""year's"", 'election', '.']"
23,"In fact , of Alabama ’ s 67 counties , 64 are still at high risk for COVID transmission .","['In', 'fact', ',', 'of', 'Alabama', '’', 's', '67', 'counties', ',', '64', 'are', 'still', 'at', 'high', 'risk', 'for', 'COVID', 'transmission', '.']"
24,""" Bayley said all 1,400 crew members received their first coronavirus vaccine dose when they arrived in Florida last week and would be fully vaccinated by this weekend .","['""', 'Bayley', 'said', 'all', '1,400', 'crew', 'members', 'received', 'their', 'first', 'coronavirus', 'vaccine', 'dose', 'when', 'they', 'arrived', 'in', 'Florida', 'last', 'week', 'and', 'would', 'be', 'fully', 'vaccinated', 'by', 'this', 'weekend', '.']"
25,", unpub . data ) but contrasts with Davies et al .","[',', 'unpub', '.', 'data', ')', 'but', 'contrasts', 'with', 'Davies', 'et', 'al', '.']"
26,"We now worryingly have a case up in Mildura , which has put in some real concerns for us on the other side of the border in the Riverland .","['We', 'now', 'worryingly', 'have', 'a', 'case', 'up', 'in', 'Mildura', ',', 'which', 'has', 'put', 'in', 'some', 'real', 'concerns', 'for', 'us', 'on', 'the', 'other', 'side', 'of', 'the', 'border', 'in', 'the', 'Riverland', '.']"
27,It is one of the largest school divisions in Virginia .,"['It', 'is', 'one', 'of', 'the', 'largest', 'school', 'divisions', 'in', 'Virginia', '.']"
28,"< a href = "" https : / / twitter . com / hashtag / ottnews ?","['<', 'a', 'href', '=', '""', 'https', ':', '/', '/', 'twitter', '.', 'com', '/', 'hashtag', '/', 'ottnews', '?']"
29,Increased hand sanitizer use blamed for rise in gastro outbreaks - New Atlas Increased hand sanitizer use blamed for rise in gastro outbreaks New Atlas error code : .,"['Increased', 'hand', 'sanitizer', 'use', 'blamed', 'for', 'rise', 'in', 'gastro', 'outbreaks', '-', 'New', 'Atlas', 'Increased', 'hand', 'sanitizer', 'use', 'blamed', 'for', 'rise', 'in', 'gastro', 'outbreaks', 'New', 'Atlas', 'error', 'code', ':', '.']"
30,"He noted that as the hearings were beginning , OAN ran a segment on crime in Chicago .","['He', 'noted', 'that', 'as', 'the', 'hearings', 'were', 'beginning', ',', 'OAN', 'ran', 'a', 'segment', 'on', 'crime', 'in', 'Chicago', '.']"
31,Attendees developed symptoms 1 to 12 days after the practice ( median = 3 days ) .,"['Attendees', 'developed', 'symptoms', '1', 'to', '12', 'days', 'after', 'the', 'practice', '(', 'median', '=', '3', 'days', ')', '.']"
32,"Out of the 48 , 31 people are from Kozhikode , four from Wayanad , eight from Malappuram , three from Kannur and one person each from Palakkad and Ernakulam districts .","['Out', 'of', 'the', '48', ',', '31', 'people', 'are', 'from', 'Kozhikode', ',', 'four', 'from', 'Wayanad', ',', 'eight', 'from', 'Malappuram', ',', 'three', 'from', 'Kannur', 'and', 'one', 'person', 'each', 'from', 'Palakkad', 'and', 'Ernakulam', 'districts', '.']"
33,"First , these findings from one county should be interpreted with caution and are not necessarily generalizable to other areas .","['First', ',', 'these', 'findings', 'from', 'one', 'county', 'should', 'be', 'interpreted', 'with', 'caution', 'and', 'are', 'not', 'necessarily', 'generalizable', 'to', 'other', 'areas', '.']"
34,The QCPD is also verifying if any of the 82 police officers were deployed to the State of the Nation Address on Monday .,"['The', 'QCPD', 'is', 'also', 'verifying', 'if', 'any', 'of', 'the', '82', 'police', 'officers', 'were', 'deployed', 'to', 'the', 'State', 'of', 'the', 'Nation', 'Address', 'on', 'Monday', '.']"
35,"As of 8am today , 362 patients with the coronavirus disease are in hospital , including 59 in intensive care units , the Department of Health said .","['As', 'of', '8am', 'today', ',', '362', 'patients', 'with', 'the', 'coronavirus', 'disease', 'are', 'in', 'hospital', ',', 'including', '59', 'in', 'intensive', 'care', 'units', ',', 'the', 'Department', 'of', 'Health', 'said', '.']"
36,"India recording over 2 lakh cases everyday , it said , using an Indian numbering unit that means 200,000 cases .","['India', 'recording', 'over', '2', 'lakh', 'cases', 'everyday', ',', 'it', 'said', ',', 'using', 'an', 'Indian', 'numbering', 'unit', 'that', 'means', '200,000', 'cases', '.']"
37,"Star 94.1 features Jesse & Tati in the Morning , Ryan Seacrest , Delana Bennett , and Mario Lopez , along with feel - good stories , entertainment updates and the best variety of music for your workday .","['Star', '94.1', 'features', 'Jesse', '&', 'Tati', 'in', 'the', 'Morning', ',', 'Ryan', 'Seacrest', ',', 'Delana', 'Bennett', ',', 'and', 'Mario', 'Lopez', ',', 'along', 'with', 'feel', '-', 'good', 'stories', ',', 'entertainment', 'updates', 'and', 'the', 'best', 'variety', 'of', 'music', 'for', 'your', 'workday', '.']"
38,Topics : .,"['Topics', ':', '.']"
39,"And Labor today has said , ‘ Yes , we think that ’ s fine ’ .","['And', 'Labor', 'today', 'has', 'said', ',', '‘', 'Yes', ',', 'we', 'think', 'that', '’', 's', 'fine', '’', '.']"
40,""" MOE said.Private tuition and enrichment centres are strongly encouraged to move lessons online during this period of heightened risk.The education ministry will step up inspections and enforcement of these locations to ensure compliance with safe management measures , it said on Sunday .","['""', 'MOE', 'said.Private', 'tuition', 'and', 'enrichment', 'centres', 'are', 'strongly', 'encouraged', 'to', 'move', 'lessons', 'online', 'during', 'this', 'period', 'of', 'heightened', 'risk.The', 'education', 'ministry', 'will', 'step', 'up', 'inspections', 'and', 'enforcement', 'of', 'these', 'locations', 'to', 'ensure', 'compliance', 'with', 'safe', 'management', 'measures', ',', 'it', 'said', 'on', 'Sunday', '.']"
41,"Contact tracers in Wales reached 14,666 close contacts in the week ending 24 July , down from 15,718 the week before .","['Contact', 'tracers', 'in', 'Wales', 'reached', '14,666', 'close', 'contacts', 'in', 'the', 'week', 'ending', '24', 'July', ',', 'down', 'from', '15,718', 'the', 'week', 'before', '.']"
42,Another eight linked infections were detected through surveillance testing .,"['Another', 'eight', 'linked', 'infections', 'were', 'detected', 'through', 'surveillance', 'testing', '.']"
43,""" During the Covid pandemic which started in March 2020 , we have , of course , followed all public health and government guidelines regarding PCR testing of staff and residents , and adhered to all subsequent actions such as isolation .","['""', 'During', 'the', 'Covid', 'pandemic', 'which', 'started', 'in', 'March', '2020', ',', 'we', 'have', ',', 'of', 'course', ',', 'followed', 'all', 'public', 'health', 'and', 'government', 'guidelines', 'regarding', 'PCR', 'testing', 'of', 'staff', 'and', 'residents', ',', 'and', 'adhered', 'to', 'all', 'subsequent', 'actions', 'such', 'as', 'isolation', '.']"
44,""" Both options are approved in Canada and use similar mechanisms , though only AstraZeneca's shot has been used here so far , with the country's first shipment of Johnson & Johnson doses expected at the end of April.One VIPIT case has also been confirmed in this country to date from that vaccine — also in a woman , though her age hasn't been revealed by public health officials .","['""', 'Both', 'options', 'are', 'approved', 'in', 'Canada', 'and', 'use', 'similar', 'mechanisms', ',', 'though', 'only', ""AstraZeneca's"", 'shot', 'has', 'been', 'used', 'here', 'so', 'far', ',', 'with', 'the', ""country's"", 'first', 'shipment', 'of', 'Johnson', '&', 'Johnson', 'doses', 'expected', 'at', 'the', 'end', 'of', 'April.One', 'VIPIT', 'case', 'has', 'also', 'been', 'confirmed', 'in', 'this', 'country', 'to', 'date', 'from', 'that', 'vaccine', '—', 'also', 'in', 'a', 'woman', ',', 'though', 'her', 'age', ""hasn't"", 'been', 'revealed', 'by', 'public', 'health', 'officials', '.']"
45,"The cumulative death toll is unchanged at 4,636 .","['The', 'cumulative', 'death', 'toll', 'is', 'unchanged', 'at', '4,636', '.']"
46,"Like Texas , the Biden administration is also raising concerns about the much more contagious Delta variant of SARS - CoV-2 as large numbers of noncitizens continue arriving at Texas ’ southern border .","['Like', 'Texas', ',', 'the', 'Biden', 'administration', 'is', 'also', 'raising', 'concerns', 'about', 'the', 'much', 'more', 'contagious', 'Delta', 'variant', 'of', 'SARS', '-', 'CoV-2', 'as', 'large', 'numbers', 'of', 'noncitizens', 'continue', 'arriving', 'at', 'Texas', '’', 'southern', 'border', '.']"
47,He has no place at WHO .,"['He', 'has', 'no', 'place', 'at', 'WHO', '.']"
48,"Tokyo Olympics 2020 : US smash world record to win men's 4x100m medley relay The US team of Ryan Murphy , Michael Andrew , Dressel , and Zach Apple touched in 3min 26.78sec to smash the global 3 : 27.28 mark set at the 2009 World Championships .","['Tokyo', 'Olympics', '2020', ':', 'US', 'smash', 'world', 'record', 'to', 'win', ""men's"", '4x100m', 'medley', 'relay', 'The', 'US', 'team', 'of', 'Ryan', 'Murphy', ',', 'Michael', 'Andrew', ',', 'Dressel', ',', 'and', 'Zach', 'Apple', 'touched', 'in', '3min', '26.78sec', 'to', 'smash', 'the', 'global', '3', ':', '27.28', 'mark', 'set', 'at', 'the', '2009', 'World', 'Championships', '.']"
49,New Zealand Covid outbreak linked to Sydney flight as Ardern widens vaccine rollout - The Guardian New Zealand Covid outbreak linked to Sydney flight as Ardern widens vaccine rollout The Guardian Authorities in New Zealand say up to 100 people may already have been infected with Covid in the current Delta outbreak .,"['New', 'Zealand', 'Covid', 'outbreak', 'linked', 'to', 'Sydney', 'flight', 'as', 'Ardern', 'widens', 'vaccine', 'rollout', '-', 'The', 'Guardian', 'New', 'Zealand', 'Covid', 'outbreak', 'linked', 'to', 'Sydney', 'flight', 'as', 'Ardern', 'widens', 'vaccine', 'rollout', 'The', 'Guardian', 'Authorities', 'in', 'New', 'Zealand', 'say', 'up', 'to', '100', 'people', 'may', 'already', 'have', 'been', 'infected', 'with', 'Covid', 'in', 'the', 'current', 'Delta', 'outbreak', '.']"
50,"Vaccination data on deaths is not provided on the dashboard as that could compromise patient privacy , he said .","['Vaccination', 'data', 'on', 'deaths', 'is', 'not', 'provided', 'on', 'the', 'dashboard', 'as', 'that', 'could', 'compromise', 'patient', 'privacy', ',', 'he', 'said', '.']"
51,Jordan rejects the charges .,"['Jordan', 'rejects', 'the', 'charges', '.']"
52,""" We are well equipped to deal with Covid patients and have robust processes in place to manage their admission .","['""', 'We', 'are', 'well', 'equipped', 'to', 'deal', 'with', 'Covid', 'patients', 'and', 'have', 'robust', 'processes', 'in', 'place', 'to', 'manage', 'their', 'admission', '.']"
53,"Apart from any fair dealing for the purpose of private study or research , no part may be reproduced without the written permission .","['Apart', 'from', 'any', 'fair', 'dealing', 'for', 'the', 'purpose', 'of', 'private', 'study', 'or', 'research', ',', 'no', 'part', 'may', 'be', 'reproduced', 'without', 'the', 'written', 'permission', '.']"
54,"In May , Premier Blaine Higgs sought a legal opinion on whether the province could make COVID-19 vaccination mandatory for health - care workers , including long - term care workers .","['In', 'May', ',', 'Premier', 'Blaine', 'Higgs', 'sought', 'a', 'legal', 'opinion', 'on', 'whether', 'the', 'province', 'could', 'make', 'COVID-19', 'vaccination', 'mandatory', 'for', 'health', '-', 'care', 'workers', ',', 'including', 'long', '-', 'term', 'care', 'workers', '.']"
55,"According to the age - related figures , the . most definitive rate is shown by the master .","['According', 'to', 'the', 'age', '-', 'related', 'figures', ',', 'the', '.', 'most', 'definitive', 'rate', 'is', 'shown', 'by', 'the', 'master', '.']"
56,"Aiming to hinder the spread of the virus , the country has imposed a pandemic lockdown from Aug .","['Aiming', 'to', 'hinder', 'the', 'spread', 'of', 'the', 'virus', ',', 'the', 'country', 'has', 'imposed', 'a', 'pandemic', 'lockdown', 'from', 'Aug', '.']"
57,"Fully vaccinated people made up nearly three - quarters of COVID-19 infections after Fourth of July events in Provincetown , the community that was examined in Massachusetts , according to a CDC study published Friday in the agency ’ s Mortality and Morbidity Weekly Report .","['Fully', 'vaccinated', 'people', 'made', 'up', 'nearly', 'three', '-', 'quarters', 'of', 'COVID-19', 'infections', 'after', 'Fourth', 'of', 'July', 'events', 'in', 'Provincetown', ',', 'the', 'community', 'that', 'was', 'examined', 'in', 'Massachusetts', ',', 'according', 'to', 'a', 'CDC', 'study', 'published', 'Friday', 'in', 'the', 'agency', '’', 's', 'Mortality', 'and', 'Morbidity', 'Weekly', 'Report', '.']"
58,"We are seeing the variants in our province.Early detection of COVID-19 will help to limit further spread of the virus.If you are out this weekend , drop by one of the rapid pop - up testing sites and get a COVID test .","['We', 'are', 'seeing', 'the', 'variants', 'in', 'our', 'province.Early', 'detection', 'of', 'COVID-19', 'will', 'help', 'to', 'limit', 'further', 'spread', 'of', 'the', 'virus.If', 'you', 'are', 'out', 'this', 'weekend', ',', 'drop', 'by', 'one', 'of', 'the', 'rapid', 'pop', '-', 'up', 'testing', 'sites', 'and', 'get', 'a', 'COVID', 'test', '.']"
59,"Pictured ( left to right ) : Nick Aust , Chris Aust , Robert Schwenker , Eve Pappas , William Hoffman , Jim Murphy , Stuart Aust and Dan Aust .","['Pictured', '(', 'left', 'to', 'right', ')', ':', 'Nick', 'Aust', ',', 'Chris', 'Aust', ',', 'Robert', 'Schwenker', ',', 'Eve', 'Pappas', ',', 'William', 'Hoffman', ',', 'Jim', 'Murphy', ',', 'Stuart', 'Aust', 'and', 'Dan', 'Aust', '.']"
60,Students are scheduled to start classes on Tuesday .,"['Students', 'are', 'scheduled', 'to', 'start', 'classes', 'on', 'Tuesday', '.']"
61,"They recovered from Covid , only to die of ' black fungus .","['They', 'recovered', 'from', 'Covid', ',', 'only', 'to', 'die', 'of', ""'"", 'black', 'fungus', '.']"
62,"Jean St . , Kedgwick ) Sept .","['Jean', 'St', '.', ',', 'Kedgwick', ')', 'Sept', '.']"
63,"By Matthias Muindi , CGTN Senior editor The Communist Party of China on 1 July celebrated its centenary .","['By', 'Matthias', 'Muindi', ',', 'CGTN', 'Senior', 'editor', 'The', 'Communist', 'Party', 'of', 'China', 'on', '1', 'July', 'celebrated', 'its', 'centenary', '.']"
64,"The annual Hajj , together with the lesser umrah pilgrimage , generated about $ 12 billion per year for Saudi Arabia ’ s economy pre - pandemic .","['The', 'annual', 'Hajj', ',', 'together', 'with', 'the', 'lesser', 'umrah', 'pilgrimage', ',', 'generated', 'about', '$', '12', 'billion', 'per', 'year', 'for', 'Saudi', 'Arabia', '’', 's', 'economy', 'pre', '-', 'pandemic', '.']"
65,"So if we have a period of time , say like two to three years , where we're not seeing a lot of activity , those birds that are immune to West Nile Virus are going to die off .","['So', 'if', 'we', 'have', 'a', 'period', 'of', 'time', ',', 'say', 'like', 'two', 'to', 'three', 'years', ',', 'where', ""we're"", 'not', 'seeing', 'a', 'lot', 'of', 'activity', ',', 'those', 'birds', 'that', 'are', 'immune', 'to', 'West', 'Nile', 'Virus', 'are', 'going', 'to', 'die', 'off', '.']"
66,"( AP Photo / John Locher , File ) Virus Outbreak US FILE - In this May 29 , 2021 , file photo , people crowd the Santa Monica Pier in Santa Monica , Calif.The U.S. surgeon general said Sunday , July 18 that he's concerned about what lies ahead with cases of COVID-19 increasing in every state , millions still unvaccinated and a highly contagious virus variant spreading rapidly .","['(', 'AP', 'Photo', '/', 'John', 'Locher', ',', 'File', ')', 'Virus', 'Outbreak', 'US', 'FILE', '-', 'In', 'this', 'May', '29', ',', '2021', ',', 'file', 'photo', ',', 'people', 'crowd', 'the', 'Santa', 'Monica', 'Pier', 'in', 'Santa', 'Monica', ',', 'Calif.The', 'U.S.', 'surgeon', 'general', 'said', 'Sunday', ',', 'July', '18', 'that', ""he's"", 'concerned', 'about', 'what', 'lies', 'ahead', 'with', 'cases', 'of', 'COVID-19', 'increasing', 'in', 'every', 'state', ',', 'millions', 'still', 'unvaccinated', 'and', 'a', 'highly', 'contagious', 'virus', 'variant', 'spreading', 'rapidly', '.']"
67,"According to the pediatric infectious disease expert and Primary Children's director of hospital epidemiology , children's hospitals nationally — including Utah's only children's hospital — are "" filled to the brim "" and functioning in a most extreme surge capacity .","['According', 'to', 'the', 'pediatric', 'infectious', 'disease', 'expert', 'and', 'Primary', ""Children's"", 'director', 'of', 'hospital', 'epidemiology', ',', ""children's"", 'hospitals', 'nationally', '—', 'including', ""Utah's"", 'only', ""children's"", 'hospital', '—', 'are', '""', 'filled', 'to', 'the', 'brim', '""', 'and', 'functioning', 'in', 'a', 'most', 'extreme', 'surge', 'capacity', '.']"
68,"The World Dream ship arrived at Marina Bay Cruise Centre at about 6.30am on Wednesday , hours before it was scheduled to return at 9am on the same day .","['The', 'World', 'Dream', 'ship', 'arrived', 'at', 'Marina', 'Bay', 'Cruise', 'Centre', 'at', 'about', '6.30am', 'on', 'Wednesday', ',', 'hours', 'before', 'it', 'was', 'scheduled', 'to', 'return', 'at', '9am', 'on', 'the', 'same', 'day', '.']"
69,"India Today Web Desk Pune August 5 , 2021 The Zika virus spreads through the bite of an infected Aedes species of mosquito named Aedes aegypti .","['India', 'Today', 'Web', 'Desk', 'Pune', 'August', '5', ',', '2021', 'The', 'Zika', 'virus', 'spreads', 'through', 'the', 'bite', 'of', 'an', 'infected', 'Aedes', 'species', 'of', 'mosquito', 'named', 'Aedes', 'aegypti', '.']"
70,"According to the ministry , here's how people can make sure they are downloading the right app : The name of the app should be Vaxicode for residents and Vaxicode Verif for businesses , without any extra words before or after and without any accents on any of the letters .","['According', 'to', 'the', 'ministry', ',', ""here's"", 'how', 'people', 'can', 'make', 'sure', 'they', 'are', 'downloading', 'the', 'right', 'app', ':', 'The', 'name', 'of', 'the', 'app', 'should', 'be', 'Vaxicode', 'for', 'residents', 'and', 'Vaxicode', 'Verif', 'for', 'businesses', ',', 'without', 'any', 'extra', 'words', 'before', 'or', 'after', 'and', 'without', 'any', 'accents', 'on', 'any', 'of', 'the', 'letters', '.']"
71,"Her experience is common , according to Easton , who said rehabilitation from encephalitis can be a long journey .","['Her', 'experience', 'is', 'common', ',', 'according', 'to', 'Easton', ',', 'who', 'said', 'rehabilitation', 'from', 'encephalitis', 'can', 'be', 'a', 'long', 'journey', '.']"
72,""" Investigations are running at high speed and police are doing everything to identify the culprit , "" police said , according to The Guardian Police have advised students to eat and drink only items they themselves brought to campus .","['""', 'Investigations', 'are', 'running', 'at', 'high', 'speed', 'and', 'police', 'are', 'doing', 'everything', 'to', 'identify', 'the', 'culprit', ',', '""', 'police', 'said', ',', 'according', 'to', 'The', 'Guardian', 'Police', 'have', 'advised', 'students', 'to', 'eat', 'and', 'drink', 'only', 'items', 'they', 'themselves', 'brought', 'to', 'campus', '.']"
