,sequence,sequence_tok
5069,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5070,@Alex_Bertie butterflies are the spawn of the devil,"['@Alex_Bertie', 'butterflies', 'are', 'the', 'spawn', 'of', 'the', 'devil']"
5071,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5072,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5073,"bad bitches is the only thing that I like, wok","['bad', 'bitches', 'is', 'the', 'only', 'thing', 'that', 'I', 'like,', 'wok']"
5074,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5075,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5076,@_David_Edward @Holden114 The Alexandrians actually found a successful way to survive in the zombie apocalypse and Rick &amp; co ruined it.,"['@_David_Edward', '@Holden114', 'The', 'Alexandrians', 'actually', 'found', 'a', 'successful', 'way', 'to', 'survive', 'in', 'the', 'zombie', 'apocalypse', 'and', 'Rick', '&amp;', 'co', 'ruined', 'it.']"
5077,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5078,i would've asked about the Bears first thing like??? https://t.co/aNfGRnDn0g,"['i', ""would've"", 'asked', 'about', 'the', 'Bears', 'first', 'thing', 'like???', 'https://t.co/aNfGRnDn0g']"
5079,Can @JustinTrudeau lower the rent price on this apartment please,"['Can', '@JustinTrudeau', 'lower', 'the', 'rent', 'price', 'on', 'this', 'apartment', 'please']"
5080,@HuntFiber Glad you're having fun! Are the bulls talking at all? I know it's late in the season but....,"['@HuntFiber', 'Glad', ""you're"", 'having', 'fun!', 'Are', 'the', 'bulls', 'talking', 'at', 'all?', 'I', 'know', ""it's"", 'late', 'in', 'the', 'season', 'but....']"
5081,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5082,The Truth About Those Chilling 'AHS' Opening Credits Isn't Scary At All https://t.co/q363OlZV7g,"['The', 'Truth', 'About', 'Those', 'Chilling', ""'AHS'"", 'Opening', 'Credits', ""Isn't"", 'Scary', 'At', 'All', 'https://t.co/q363OlZV7g']"
5083,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5084,"Fact of the matter is that Christianity is central to understanding history, tradition, art of Western Civilization https://t.co/dqwR4EGGHO","['Fact', 'of', 'the', 'matter', 'is', 'that', 'Christianity', 'is', 'central', 'to', 'understanding', 'history,', 'tradition,', 'art', 'of', 'Western', 'Civilization', 'https://t.co/dqwR4EGGHO']"
5085,we take care of the hard work and make it easy for you to save money on Car Insurance #AutoInsurance --&gt;&gt; https://t.co/9OHOv9QS9E,"['we', 'take', 'care', 'of', 'the', 'hard', 'work', 'and', 'make', 'it', 'easy', 'for', 'you', 'to', 'save', 'money', 'on', 'Car', 'Insurance', '#AutoInsurance', '--&gt;&gt;', 'https://t.co/9OHOv9QS9E']"
5086,"@andrewklavan LWNJ criticizes Christian Patriots--also water is wet, Pope is Catholic, and bears really do poop in the woods @benshapiro","['@andrewklavan', 'LWNJ', 'criticizes', 'Christian', 'Patriots--also', 'water', 'is', 'wet,', 'Pope', 'is', 'Catholic,', 'and', 'bears', 'really', 'do', 'poop', 'in', 'the', 'woods', '@benshapiro']"
5087,"After reading into the UK's membership in the EU, I'm not so sure being a member is as good an idea as I thought it was","['After', 'reading', 'into', 'the', ""UK's"", 'membership', 'in', 'the', 'EU,', ""I'm"", 'not', 'so', 'sure', 'being', 'a', 'member', 'is', 'as', 'good', 'an', 'idea', 'as', 'I', 'thought', 'it', 'was']"
5088,Help lost souls to cross over! and find out the role #karma can play in all of this. #ghosts #talkradio listen here https://t.co/SIaK3OVUmi,"['Help', 'lost', 'souls', 'to', 'cross', 'over!', 'and', 'find', 'out', 'the', 'role', '#karma', 'can', 'play', 'in', 'all', 'of', 'this.', '#ghosts', '#talkradio', 'listen', 'here', 'https://t.co/SIaK3OVUmi']"
5089,SPECTRE now on at Odeon Brewery Square; winner of the Screen Awards 'Cinema of the Year' 2015:... https://t.co/i9vUooupbT,"['SPECTRE', 'now', 'on', 'at', 'Odeon', 'Brewery', 'Square;', 'winner', 'of', 'the', 'Screen', 'Awards', ""'Cinema"", 'of', 'the', ""Year'"", '2015:...', 'https://t.co/i9vUooupbT']"
5090,"""There are two ways to reach me: by way of kisses or by way of the imagination. But there is a..."" https://t.co/MvDv5y1gxf","['""There', 'are', 'two', 'ways', 'to', 'reach', 'me:', 'by', 'way', 'of', 'kisses', 'or', 'by', 'way', 'of', 'the', 'imagination.', 'But', 'there', 'is', 'a...""', 'https://t.co/MvDv5y1gxf']"
5091,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5092,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5093,Where is Pinellas Park on the map? Play the game at https://t.co/CTLyWZvM5w #Pinellas Park,"['Where', 'is', 'Pinellas', 'Park', 'on', 'the', 'map?', 'Play', 'the', 'game', 'at', 'https://t.co/CTLyWZvM5w', '#Pinellas', 'Park']"
5094,Did you see it at the beach?,"['Did', 'you', 'see', 'it', 'at', 'the', 'beach?']"
5095,Tomorrow come to YRL from 12-2 to Crowd-Source the Graphic Covers of Victorian Crowd-Pleasers! https://t.co/SSP9wFAwVe,"['Tomorrow', 'come', 'to', 'YRL', 'from', '12-2', 'to', 'Crowd-Source', 'the', 'Graphic', 'Covers', 'of', 'Victorian', 'Crowd-Pleasers!', 'https://t.co/SSP9wFAwVe']"
5096,Pirates of the Caribbean was reported closed at approximately 3:40 PM,"['Pirates', 'of', 'the', 'Caribbean', 'was', 'reported', 'closed', 'at', 'approximately', '3:40', 'PM']"
5097,@screwtape1a12 He DOES look like he knows his job. The others? Not so much. @ramzpaul @iowahawkblog @voxday @instapundit,"['@screwtape1a12', 'He', 'DOES', 'look', 'like', 'he', 'knows', 'his', 'job.', 'The', 'others?', 'Not', 'so', 'much.', '@ramzpaul', '@iowahawkblog', '@voxday', '@instapundit']"
5098,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5099,"@Tshirt_boy Exactly, that's what I meant with underlying anger agianst the state govt.","['@Tshirt_boy', 'Exactly,', ""that's"", 'what', 'I', 'meant', 'with', 'underlying', 'anger', 'agianst', 'the', 'state', 'govt.']"
5100,"I ain't getting on my knees, bae you bow down to me, you go down for me, you lay down and do the time for me","['I', ""ain't"", 'getting', 'on', 'my', 'knees,', 'bae', 'you', 'bow', 'down', 'to', 'me,', 'you', 'go', 'down', 'for', 'me,', 'you', 'lay', 'down', 'and', 'do', 'the', 'time', 'for', 'me']"
5101,The Digital Entrepreneur: The dream of building a business around digital products and services is as old as t... https://t.co/UxPqCHY4qM,"['The', 'Digital', 'Entrepreneur:', 'The', 'dream', 'of', 'building', 'a', 'business', 'around', 'digital', 'products', 'and', 'services', 'is', 'as', 'old', 'as', 't...', 'https://t.co/UxPqCHY4qM']"
5102,Photos : See how Rooney celebrated his 30th birthday at the Hilton Hotel in Liverpool https://t.co/sazIXaIFsV via @OkGist,"['Photos', ':', 'See', 'how', 'Rooney', 'celebrated', 'his', '30th', 'birthday', 'at', 'the', 'Hilton', 'Hotel', 'in', 'Liverpool', 'https://t.co/sazIXaIFsV', 'via', '@OkGist']"
5103,im sure 99% of greggs staff have problems with knowing the difference between hot and cold,"['im', 'sure', '99%', 'of', 'greggs', 'staff', 'have', 'problems', 'with', 'knowing', 'the', 'difference', 'between', 'hot', 'and', 'cold']"
5104,@VOICEOFCHID @blackrepublican what can you say about the dems when they support a black lives movement that calls for the death of cops?,"['@VOICEOFCHID', '@blackrepublican', 'what', 'can', 'you', 'say', 'about', 'the', 'dems', 'when', 'they', 'support', 'a', 'black', 'lives', 'movement', 'that', 'calls', 'for', 'the', 'death', 'of', 'cops?']"
5105,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5106,The clock that no longer goes tick tock��_ maintenance of public artworks  https://t.co/eMsvDINI8z - By @HoldingRedlich,"['The', 'clock', 'that', 'no', 'longer', 'goes', 'tick', 'tock��_', 'maintenance', 'of', 'public', 'artworks', '', 'https://t.co/eMsvDINI8z', '-', 'By', '@HoldingRedlich']"
5107,@HolstonGage Peach with cat suit is the fastest character in the game lol.,"['@HolstonGage', 'Peach', 'with', 'cat', 'suit', 'is', 'the', 'fastest', 'character', 'in', 'the', 'game', 'lol.']"
5108,A new way of looking #DMZ - Finding the way ThoughtLeaders https://t.co/3TyypaLRnK,"['A', 'new', 'way', 'of', 'looking', '#DMZ', '-', 'Finding', 'the', 'way', 'ThoughtLeaders', 'https://t.co/3TyypaLRnK']"
5109,@Snapdeal_Help @1kunalbahl : For the past 1month you guys are giving me justification right? Avi!!!,"['@Snapdeal_Help', '@1kunalbahl', ':', 'For', 'the', 'past', '1month', 'you', 'guys', 'are', 'giving', 'me', 'justification', 'right?', 'Avi!!!']"
5110,"@WWERomanReigns is ready now @WWE ; you need to push this guy, forget the IWC fools, you have a future hall-of-famer on your hands...","['@WWERomanReigns', 'is', 'ready', 'now', '@WWE', ';', 'you', 'need', 'to', 'push', 'this', 'guy,', 'forget', 'the', 'IWC', 'fools,', 'you', 'have', 'a', 'future', 'hall-of-famer', 'on', 'your', 'hands...']"
5111,"@Harry_Styles I love you very much and you mean so much to me_���, I can't wait to hear Made In The A.M., I am so so excited_�ե_ٍ�_���! 
x2,080","['@Harry_Styles', 'I', 'love', 'you', 'very', 'much', 'and', 'you', 'mean', 'so', 'much', 'to', 'me_���,', 'I', ""can't"", 'wait', 'to', 'hear', 'Made', 'In', 'The', 'A.M.,', 'I', 'am', 'so', 'so', 'excited_�ե_ٍ�_���!', '\nx2,080']"
5112,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5113,Thanks for the help assholes_�Х_ُ_,"['Thanks', 'for', 'the', 'help', 'assholes_�Х_ُ_']"
5114,"If you just listen closely to ""Hello"" you can hear the soul and meaning of each word and ugh it's just so good","['If', 'you', 'just', 'listen', 'closely', 'to', '""Hello""', 'you', 'can', 'hear', 'the', 'soul', 'and', 'meaning', 'of', 'each', 'word', 'and', 'ugh', ""it's"", 'just', 'so', 'good']"
5115,I'm not the strongest physically but mentally...mentally Iv been through��_ https://t.co/fHhIUG7n4E,"[""I'm"", 'not', 'the', 'strongest', 'physically', 'but', 'mentally...mentally', 'Iv', 'been', 'through��_', 'https://t.co/fHhIUG7n4E']"
5116,@KatieLynnTate pre-sale the 6th general the 7th,"['@KatieLynnTate', 'pre-sale', 'the', '6th', 'general', 'the', '7th']"
5117,Just listed Blue Fingerprint Wine Bottle Stopper by prizmatic: 22.00 USDWhy use the old cork wh... https://t.co/Ias8GLxGOR #etsy #etsybot,"['Just', 'listed', 'Blue', 'Fingerprint', 'Wine', 'Bottle', 'Stopper', 'by', 'prizmatic:', '22.00', 'USDWhy', 'use', 'the', 'old', 'cork', 'wh...', 'https://t.co/Ias8GLxGOR', '#etsy', '#etsybot']"
5118,"The Bulls should indeed more watchable this year, if perhaps not better https://t.co/aFCecYws6a #bulls #DaBulls","['The', 'Bulls', 'should', 'indeed', 'more', 'watchable', 'this', 'year,', 'if', 'perhaps', 'not', 'better', 'https://t.co/aFCecYws6a', '#bulls', '#DaBulls']"
5119,@bengrue we're on it! Thanks for the heads up!,"['@bengrue', ""we're"", 'on', 'it!', 'Thanks', 'for', 'the', 'heads', 'up!']"
5120,".@TheWeeknd tops the #Hot100 (again!), but will @Adele be No. 1 next week? https://t.co/obxvCPKRG2","['.@TheWeeknd', 'tops', 'the', '#Hot100', '(again!),', 'but', 'will', '@Adele', 'be', 'No.', '1', 'next', 'week?', 'https://t.co/obxvCPKRG2']"
5121,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5122,@ltcpeterlerner Security first. not boundless compassion for the enemy's welfare. Cut the utilities to Gaza. Let'em prioritize peace.,"['@ltcpeterlerner', 'Security', 'first.', 'not', 'boundless', 'compassion', 'for', 'the', ""enemy's"", 'welfare.', 'Cut', 'the', 'utilities', 'to', 'Gaza.', ""Let'em"", 'prioritize', 'peace.']"
5123,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5124,"Microsoft Jumps 6% On Profit, Revenue Beat In Its FQ1: Today Microsoft reported the��_ https://t.co/0njwIEj3EH https://t.co/ihy13j55pJ","['Microsoft', 'Jumps', '6%', 'On', 'Profit,', 'Revenue', 'Beat', 'In', 'Its', 'FQ1:', 'Today', 'Microsoft', 'reported', 'the��_', 'https://t.co/0njwIEj3EH', 'https://t.co/ihy13j55pJ']"
5125,"@PixelitoBat I did last year when I had this problem. The Dean of Advanced technology dutifully recorded, filed, and ignored it. :/","['@PixelitoBat', 'I', 'did', 'last', 'year', 'when', 'I', 'had', 'this', 'problem.', 'The', 'Dean', 'of', 'Advanced', 'technology', 'dutifully', 'recorded,', 'filed,', 'and', 'ignored', 'it.', ':/']"
5126,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5127,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5128,@LanceSilver1 if shapiro &amp; christie are paying off these muslims theyre getting a huge sum- kickback from it. Follow the $.,"['@LanceSilver1', 'if', 'shapiro', '&amp;', 'christie', 'are', 'paying', 'off', 'these', 'muslims', 'theyre', 'getting', 'a', 'huge', 'sum-', 'kickback', 'from', 'it.', 'Follow', 'the', '$.']"
5129,"The Age of Decadence - 2nd Aug update - more tweaks and fixes
https://t.co/QUOBE30C1j","['The', 'Age', 'of', 'Decadence', '-', '2nd', 'Aug', 'update', '-', 'more', 'tweaks', 'and', 'fixes\nhttps://t.co/QUOBE30C1j']"
5130,"Let us introduce you to the oldest woman to ever run a marathon (Oh, AND she beat cancer!)��_ https://t.co/foZSSMNVv6) https://t.co/z27TAOI5DA","['Let', 'us', 'introduce', 'you', 'to', 'the', 'oldest', 'woman', 'to', 'ever', 'run', 'a', 'marathon', '(Oh,', 'AND', 'she', 'beat', 'cancer!)��_', 'https://t.co/foZSSMNVv6)', 'https://t.co/z27TAOI5DA']"
5131,"Happy Festival of the lost!
#bungie #destinythegame #gaming https://t.co/DoBfQAhtOE","['Happy', 'Festival', 'of', 'the', 'lost!\n#bungie', '#destinythegame', '#gaming', 'https://t.co/DoBfQAhtOE']"
5132,@kierFVK will there be more t-shirt sizes available for the t-shirt and CD bundle? I'd quite like one. _���,"['@kierFVK', 'will', 'there', 'be', 'more', 't-shirt', 'sizes', 'available', 'for', 'the', 't-shirt', 'and', 'CD', 'bundle?', ""I'd"", 'quite', 'like', 'one.', '_���']"
5133,���I wouldn�۪t be surprised to see all the Kardashians in niqab come 2017�۪: Kim Kardashian�۪s look has evolved fro... https://t.co/VpZ8OlatMy,"['���I', 'wouldn�۪t', 'be', 'surprised', 'to', 'see', 'all', 'the', 'Kardashians', 'in', 'niqab', 'come', '2017�۪:', 'Kim', 'Kardashian�۪s', 'look', 'has', 'evolved', 'fro...', 'https://t.co/VpZ8OlatMy']"
5134,"Weekend box office: ���The Martian�۪ rockets back to number one as ���Last Witch Hunter,�۪ ���Steve Jobs�۪��flop https://t.co/WOuf8fnBng","['Weekend', 'box', 'office:', '���The', 'Martian�۪', 'rockets', 'back', 'to', 'number', 'one', 'as', '���Last', 'Witch', 'Hunter,�۪', '���Steve', 'Jobs�۪��flop', 'https://t.co/WOuf8fnBng']"
5135,"It took me a little while to get on board, but its official: Ashton is the new bae. _�_�_ُ�","['It', 'took', 'me', 'a', 'little', 'while', 'to', 'get', 'on', 'board,', 'but', 'its', 'official:', 'Ashton', 'is', 'the', 'new', 'bae.', '_�_�_ُ�']"
5136,The Pros and Cons of MLM https://t.co/LnUHj9ysBN  #MultiLevelMarketing,"['The', 'Pros', 'and', 'Cons', 'of', 'MLM', 'https://t.co/LnUHj9ysBN', '', '#MultiLevelMarketing']"
5137,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5138,Gonna be real funny when it's ur blood on the ground and not my tea,"['Gonna', 'be', 'real', 'funny', 'when', ""it's"", 'ur', 'blood', 'on', 'the', 'ground', 'and', 'not', 'my', 'tea']"
5139,"Came across this photo, not mine, but love to see photos around The Space Needle What can be more spontaneous than��_ https://t.co/15USDAP18Y","['Came', 'across', 'this', 'photo,', 'not', 'mine,', 'but', 'love', 'to', 'see', 'photos', 'around', 'The', 'Space', 'Needle', 'What', 'can', 'be', 'more', 'spontaneous', 'than��_', 'https://t.co/15USDAP18Y']"
5140,I just tried to spell the word 'go' like 'goe'.,"['I', 'just', 'tried', 'to', 'spell', 'the', 'word', ""'go'"", 'like', ""'goe'.""]"
5141,"You would fuck a bitch niggas for the fame, won't you? You would give that pussy up to a lame, won't you?","['You', 'would', 'fuck', 'a', 'bitch', 'niggas', 'for', 'the', 'fame,', ""won't"", 'you?', 'You', 'would', 'give', 'that', 'pussy', 'up', 'to', 'a', 'lame,', ""won't"", 'you?']"
5142,"Read Between The Wines @ Fort Myers, FL - begins in November 09, 2015- More info: https://t.co/X0EAyDrw2a","['Read', 'Between', 'The', 'Wines', '@', 'Fort', 'Myers,', 'FL', '-', 'begins', 'in', 'November', '09,', '2015-', 'More', 'info:', 'https://t.co/X0EAyDrw2a']"
5143,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5144,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5145,@eparillon Not sure..  How much faster is it than the N?  Does it get hung up like the 38?  Cos I've taken that ride at rush hour :(,"['@eparillon', 'Not', 'sure..', '', 'How', 'much', 'faster', 'is', 'it', 'than', 'the', 'N?', '', 'Does', 'it', 'get', 'hung', 'up', 'like', 'the', '38?', '', 'Cos', ""I've"", 'taken', 'that', 'ride', 'at', 'rush', 'hour', ':(']"
5146,"@BBCOne Co.Antrim ? Good or Bad ? F,in Security nightmare. Arresting developments ? Of the wrong rotten Manor! Be good if 007 fucked Off.","['@BBCOne', 'Co.Antrim', '?', 'Good', 'or', 'Bad', '?', 'F,in', 'Security', 'nightmare.', 'Arresting', 'developments', '?', 'Of', 'the', 'wrong', 'rotten', 'Manor!', 'Be', 'good', 'if', '007', 'fucked', 'Off.']"
5147,Don't tell me the reason why you don't hit me up is because IM busy. What kind of excuse is that ? _���,"[""Don't"", 'tell', 'me', 'the', 'reason', 'why', 'you', ""don't"", 'hit', 'me', 'up', 'is', 'because', 'IM', 'busy.', 'What', 'kind', 'of', 'excuse', 'is', 'that', '?', '_���']"
5148,"Artist Oliver Michaels Composes Surreal Photographs Like A Geneticist Splices DNA: 
���I treat the photographic ... https://t.co/fSymviALxY","['Artist', 'Oliver', 'Michaels', 'Composes', 'Surreal', 'Photographs', 'Like', 'A', 'Geneticist', 'Splices', 'DNA:', '\n���I', 'treat', 'the', 'photographic', '...', 'https://t.co/fSymviALxY']"
5149,NEWS: A Star Is Viral: How 'Jem and the Holograms' Doesn't Get the Internet: Jem and the Holograms was a... https://t.co/RK3xWIpo43 #GCPR,"['NEWS:', 'A', 'Star', 'Is', 'Viral:', 'How', ""'Jem"", 'and', 'the', ""Holograms'"", ""Doesn't"", 'Get', 'the', 'Internet:', 'Jem', 'and', 'the', 'Holograms', 'was', 'a...', 'https://t.co/RK3xWIpo43', '#GCPR']"
5150,We will forever be faded on the gold skies,"['We', 'will', 'forever', 'be', 'faded', 'on', 'the', 'gold', 'skies']"
5151,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5152,scrambled eggs and cottage cheese is the best thing ever,"['scrambled', 'eggs', 'and', 'cottage', 'cheese', 'is', 'the', 'best', 'thing', 'ever']"
5153,Vou indo bjo @onedirection Artist Of The Year #AMAs,"['Vou', 'indo', 'bjo', '@onedirection', 'Artist', 'Of', 'The', 'Year', '#AMAs']"
5154,YBG_Anthony: If you are not part of the Solution You are part of the problem - Act Now #ThoughtLeaders  https://t.co/OjLskDZn5r,"['YBG_Anthony:', 'If', 'you', 'are', 'not', 'part', 'of', 'the', 'Solution', 'You', 'are', 'part', 'of', 'the', 'problem', '-', 'Act', 'Now', '#ThoughtLeaders', '', 'https://t.co/OjLskDZn5r']"
5155,id get either the oatmeal x oatmeal or the black x oatmeal,"['id', 'get', 'either', 'the', 'oatmeal', 'x', 'oatmeal', 'or', 'the', 'black', 'x', 'oatmeal']"
5156,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5157,No mamfundisi ba baie on my TL. spreading the word. Love it. _ُ� https://t.co/Hnxz4GVGLT,"['No', 'mamfundisi', 'ba', 'baie', 'on', 'my', 'TL.', 'spreading', 'the', 'word.', 'Love', 'it.', '_ُ�', 'https://t.co/Hnxz4GVGLT']"
5158,KPMG_US: Triple the likelihood of successfully controlling IT costs by holding a C-level exec accountable #RunITAs��_ https://t.co/NRQxhU93Zs,"['KPMG_US:', 'Triple', 'the', 'likelihood', 'of', 'successfully', 'controlling', 'IT', 'costs', 'by', 'holding', 'a', 'C-level', 'exec', 'accountable', '#RunITAs��_', 'https://t.co/NRQxhU93Zs']"
5159,"We're bringing the Rock to AfterShock in Kansas City, KS tonight on #TheOtherSideTour! Come have some��_ https://t.co/hc9OTqvVGG","[""We're"", 'bringing', 'the', 'Rock', 'to', 'AfterShock', 'in', 'Kansas', 'City,', 'KS', 'tonight', 'on', '#TheOtherSideTour!', 'Come', 'have', 'some��_', 'https://t.co/hc9OTqvVGG']"
5160,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5161,I wish there was a medicine for #fuckboys. They're easily 97% of the male population. All I can do is make sure I don't turn into one ever.,"['I', 'wish', 'there', 'was', 'a', 'medicine', 'for', '#fuckboys.', ""They're"", 'easily', '97%', 'of', 'the', 'male', 'population.', 'All', 'I', 'can', 'do', 'is', 'make', 'sure', 'I', ""don't"", 'turn', 'into', 'one', 'ever.']"
5162,I don't understand how @januhhrin ships just the SITUATION Jae put me in ahahaha but at least she doesn't ship me and Jae bless,"['I', ""don't"", 'understand', 'how', '@januhhrin', 'ships', 'just', 'the', 'SITUATION', 'Jae', 'put', 'me', 'in', 'ahahaha', 'but', 'at', 'least', 'she', ""doesn't"", 'ship', 'me', 'and', 'Jae', 'bless']"
5163,@drewfoundland so . . . immortality with the option of euthanasia?,"['@drewfoundland', 'so', '.', '.', '.', 'immortality', 'with', 'the', 'option', 'of', 'euthanasia?']"
5164,For Sale: The Harrington House Bed and Breakfast (Slideshow) https://t.co/PDNs6sIWEL https://t.co/9tfZnMPzvC,"['For', 'Sale:', 'The', 'Harrington', 'House', 'Bed', 'and', 'Breakfast', '(Slideshow)', 'https://t.co/PDNs6sIWEL', 'https://t.co/9tfZnMPzvC']"
5165,"NO ONE EVER WANTS TO GO BACKWARDS? BUT THIS ABOUT SAVING OUR USA realDonaldTrump 

#WhyImNotVotingForHillary 

 ��_ ��_ https://t.co/5IV46WvPMc","['NO', 'ONE', 'EVER', 'WANTS', 'TO', 'GO', 'BACKWARDS?', 'BUT', 'THIS', 'ABOUT', 'SAVING', 'OUR', 'USA', 'realDonaldTrump', '\n\n#WhyImNotVotingForHillary', '\n\n', '��_', '��_', 'https://t.co/5IV46WvPMc']"
5166,Watch your mouth: The language we use creates the reality we experience.-Michael Hyatt #quote,"['Watch', 'your', 'mouth:', 'The', 'language', 'we', 'use', 'creates', 'the', 'reality', 'we', 'experience.-Michael', 'Hyatt', '#quote']"
5167,The mama bear in me is about to come out on you and I really don't think you want that to fucking happen.,"['The', 'mama', 'bear', 'in', 'me', 'is', 'about', 'to', 'come', 'out', 'on', 'you', 'and', 'I', 'really', ""don't"", 'think', 'you', 'want', 'that', 'to', 'fucking', 'happen.']"
5168,@BeauchampConnie She just sat there and looked at Connie as they got to the hospital,"['@BeauchampConnie', 'She', 'just', 'sat', 'there', 'and', 'looked', 'at', 'Connie', 'as', 'they', 'got', 'to', 'the', 'hospital']"
5169,"I don't wanna say goodbye to another night
I don't wanna let it burn in the city lights","['I', ""don't"", 'wanna', 'say', 'goodbye', 'to', 'another', 'night\nI', ""don't"", 'wanna', 'let', 'it', 'burn', 'in', 'the', 'city', 'lights']"
5170,Get Weather Updates from The Weather Channel. 15:40:10,"['Get', 'Weather', 'Updates', 'from', 'The', 'Weather', 'Channel.', '15:40:10']"
5171,https://t.co/6qjOcIFQWG ���#HarryPotterAndTheCursedChild�۪ Play Details... https://t.co/dH2FKIfl16 https://t.co/h3LMdxTSuV,"['https://t.co/6qjOcIFQWG', '���#HarryPotterAndTheCursedChild�۪', 'Play', 'Details...', 'https://t.co/dH2FKIfl16', 'https://t.co/h3LMdxTSuV']"
5172,And rounding out the afternoon with a little Otis Redding.,"['And', 'rounding', 'out', 'the', 'afternoon', 'with', 'a', 'little', 'Otis', 'Redding.']"
5173,"Flag on the play, narrative zone infraction #2A 

Gun Deaths Have Dropped 30 Percent Since 1993 https://t.co/9u6o1R6s73","['Flag', 'on', 'the', 'play,', 'narrative', 'zone', 'infraction', '#2A', '\n\nGun', 'Deaths', 'Have', 'Dropped', '30', 'Percent', 'Since', '1993', 'https://t.co/9u6o1R6s73']"
5174,It's the bible or the rifle,"[""It's"", 'the', 'bible', 'or', 'the', 'rifle']"
5175,The greatest thing you can receive from God is another day of life. Be thankful for every day.,"['The', 'greatest', 'thing', 'you', 'can', 'receive', 'from', 'God', 'is', 'another', 'day', 'of', 'life.', 'Be', 'thankful', 'for', 'every', 'day.']"
5176,shawshank redemption is such a good film I am sO excited to see it at the theatre tomorrow,"['shawshank', 'redemption', 'is', 'such', 'a', 'good', 'film', 'I', 'am', 'sO', 'excited', 'to', 'see', 'it', 'at', 'the', 'theatre', 'tomorrow']"
5177,I�۪m ready to engage with my 1 new follower in the past day. I know them via https://t.co/PxdZ7EyYCU,"['I�۪m', 'ready', 'to', 'engage', 'with', 'my', '1', 'new', 'follower', 'in', 'the', 'past', 'day.', 'I', 'know', 'them', 'via', 'https://t.co/PxdZ7EyYCU']"
5178,This is the same building where an old lady offered to take me to her apt to teach me how to close a door properly. I respectully declined.,"['This', 'is', 'the', 'same', 'building', 'where', 'an', 'old', 'lady', 'offered', 'to', 'take', 'me', 'to', 'her', 'apt', 'to', 'teach', 'me', 'how', 'to', 'close', 'a', 'door', 'properly.', 'I', 'respectully', 'declined.']"
