,sequences,labels,sequence_tok,ner_BIO_full,ner_BIO_full_0.05,ner_BIO_full_0.1,ner_BIO_full_0.15,ner_BIO_full_0.2
329,"Lorenzo Tondo in Palermo Italian life expectancy fell by 1.2 years in 2020 due to Covid-19 , dropping to 82 , according to the National Statistics Agency ( ISTAT ) .","B-person I-person O B-location O O O O O O O O O O O B-disease O O O O O O O O B-organization I-organization I-organization O B-organization O O
","['Lorenzo', 'Tondo', 'in', 'Palermo', 'Italian', 'life', 'expectancy', 'fell', 'by', '1.2', 'years', 'in', '2020', 'due', 'to', 'Covid-19', ',', 'dropping', 'to', '82', ',', 'according', 'to', 'the', 'National', 'Statistics', 'Agency', '(', 'ISTAT', ')', '.']","['B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'B-organization', 'O', 'O']","['B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'B-organization', 'O', 'O']","['B-person', 'I-person', 'O', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'I-bacterium', 'O', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'B-organization', 'O', 'O']","['B-person', 'I-person', 'I-bacterium', 'B-location', 'O', 'O', 'O', 'O', 'B-location', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time', 'I-organization', 'I-bacterium', 'O', 'B-organization', 'O', 'O']","['I-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'B-organization', 'O', 'B-animal']"
330,"Abraham Lincoln N ° 452 Local 220B , Plaza La Francesa , Piantini , Santo Domingo Tel .","B-person I-person O O O O O O B-location I-location I-location O B-location O B-location I-location I-location O
","['Abraham', 'Lincoln', 'N', '°', '452', 'Local', '220B', ',', 'Plaza', 'La', 'Francesa', ',', 'Piantini', ',', 'Santo', 'Domingo', 'Tel', '.']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'O']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'O']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'O']","['B-person', 'I-person', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'I-animal', 'I-location']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-bacterium', 'I-product', 'O', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'O']"
331,""" We will make a final decision on the matter based on the advice and discussions we have with the government expert panel tomorrow , "" he told reporters on Monday evening .","O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O B-time I-time O
","['""', 'We', 'will', 'make', 'a', 'final', 'decision', 'on', 'the', 'matter', 'based', 'on', 'the', 'advice', 'and', 'discussions', 'we', 'have', 'with', 'the', 'government', 'expert', 'panel', 'tomorrow', ',', '""', 'he', 'told', 'reporters', 'on', 'Monday', 'evening', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-time', 'I-time', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-time', 'I-time', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'I-person', 'O', 'O', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-symptom', 'B-organization', 'B-time', 'I-time', 'O']","['B-disease', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'B-bacterium', 'O', 'O', 'O', 'O', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'I-animal', 'I-animal', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-time', 'I-time', 'O']","['O', 'O', 'I-disease', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'B-person', 'O', 'B-time', 'I-time', 'O']"
332,"Symptoms can include fever , headache , body aches , nausea , or a skin rash .","O O O B-symptom O B-symptom O B-symptom I-symptom O B-symptom O O O B-symptom I-symptom O
","['Symptoms', 'can', 'include', 'fever', ',', 'headache', ',', 'body', 'aches', ',', 'nausea', ',', 'or', 'a', 'skin', 'rash', '.']","['O', 'O', 'O', 'B-symptom', 'O', 'B-symptom', 'O', 'B-symptom', 'I-symptom', 'O', 'B-symptom', 'O', 'O', 'O', 'B-symptom', 'I-symptom', 'O']","['O', 'O', 'O', 'I-time', 'O', 'B-symptom', 'O', 'B-symptom', 'I-symptom', 'O', 'B-symptom', 'O', 'O', 'O', 'B-organization', 'I-symptom', 'O']","['O', 'B-disease', 'O', 'B-symptom', 'O', 'B-symptom', 'O', 'B-symptom', 'I-symptom', 'O', 'B-symptom', 'O', 'O', 'I-person', 'B-symptom', 'I-symptom', 'O']","['B-virus', 'O', 'B-disease', 'B-symptom', 'O', 'B-symptom', 'O', 'B-symptom', 'I-location', 'O', 'B-symptom', 'O', 'O', 'O', 'B-symptom', 'I-symptom', 'O']","['O', 'O', 'I-symptom', 'B-symptom', 'O', 'B-symptom', 'O', 'B-symptom', 'B-bacterium', 'O', 'B-symptom', 'I-animal', 'O', 'O', 'B-symptom', 'I-symptom', 'O']"
333,"India Yamaha Motor begins vaccination drive against Covid-19 Chennai , July 31 ( PTI ) : Two - wheeler major India Yamaha Motor has commenced a Covid-19 vaccination drive for its employees in Kancheepuram in Tamil Nadu and Surajpur in Uttar Pradesh , the company said on Saturday .","B-organization I-organization I-organization O O O O B-person B-location O B-time I-time O O O O O O O O B-organization I-organization I-organization O O O B-disease O O O O B-person O B-location O B-location I-location O B-location O B-location I-location O O O O O B-time O
","['India', 'Yamaha', 'Motor', 'begins', 'vaccination', 'drive', 'against', 'Covid-19', 'Chennai', ',', 'July', '31', '(', 'PTI', ')', ':', 'Two', '-', 'wheeler', 'major', 'India', 'Yamaha', 'Motor', 'has', 'commenced', 'a', 'Covid-19', 'vaccination', 'drive', 'for', 'its', 'employees', 'in', 'Kancheepuram', 'in', 'Tamil', 'Nadu', 'and', 'Surajpur', 'in', 'Uttar', 'Pradesh', ',', 'the', 'company', 'said', 'on', 'Saturday', '.']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-person', 'B-location', 'O', 'B-time', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-time', 'O']","['B-organization', 'I-organization', 'B-product', 'O', 'O', 'O', 'O', 'B-person', 'B-location', 'O', 'B-time', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-person', 'I-organization', 'I-organization', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'I-bacterium', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-time', 'O']","['B-symptom', 'I-organization', 'I-organization', 'O', 'O', 'B-symptom', 'O', 'B-person', 'B-location', 'O', 'B-time', 'I-time', 'O', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-time', 'B-organization', 'B-time', 'I-organization', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'B-person', 'O', 'I-virus', 'O', 'B-location', 'I-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'I-virus', 'B-time', 'O']","['B-time', 'I-organization', 'I-organization', 'O', 'O', 'O', 'I-disease', 'B-person', 'I-virus', 'O', 'B-time', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'B-person', 'O', 'I-symptom', 'O', 'B-location', 'I-location', 'O', 'B-animal', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-time', 'O']","['B-organization', 'I-organization', 'B-animal', 'O', 'O', 'O', 'O', 'B-person', 'I-disease', 'O', 'B-time', 'I-time', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'B-disease', 'I-person', 'O', 'B-organization', 'O', 'B-person', 'O', 'I-person', 'O', 'B-location', 'I-location', 'B-product', 'B-location', 'O', 'B-animal', 'I-location', 'O', 'I-location', 'O', 'B-virus', 'O', 'B-time', 'B-person']"
334,"California Supreme Court outlaws marijuana in prisons SACRAMENTO , California : The California Supreme Court ruled on Thursday that prison inmates cannot possess marijuana under California's law allowing the . NASA delivers pizza to Space Station astronauts WALLOPS ISLAND , Virginia : A supply rocket sent to the International Space Station included not only space station necessities , but also .","B-organization I-organization I-organization O O O O B-location O B-location O O B-organization I-organization I-organization O O B-time O O O O O O O B-location O O O O B-organization O O O B-person I-person I-person B-location I-location O B-location O O O O O O O B-location I-location I-location O O O O O O O O O O
","['California', 'Supreme', 'Court', 'outlaws', 'marijuana', 'in', 'prisons', 'SACRAMENTO', ',', 'California', ':', 'The', 'California', 'Supreme', 'Court', 'ruled', 'on', 'Thursday', 'that', 'prison', 'inmates', 'cannot', 'possess', 'marijuana', 'under', ""California's"", 'law', 'allowing', 'the', '.', 'NASA', 'delivers', 'pizza', 'to', 'Space', 'Station', 'astronauts', 'WALLOPS', 'ISLAND', ',', 'Virginia', ':', 'A', 'supply', 'rocket', 'sent', 'to', 'the', 'International', 'Space', 'Station', 'included', 'not', 'only', 'space', 'station', 'necessities', ',', 'but', 'also', '.']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-organization', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'B-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'B-virus', 'O', 'I-symptom', 'B-location', 'O', 'B-location', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-organization', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'B-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'B-location', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-time', 'O', 'O', 'O', 'I-location', 'B-virus', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-organization', 'O', 'O', 'I-symptom', 'B-person', 'I-person', 'I-person', 'B-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'B-location', 'I-location', 'I-time', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-time', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-virus', 'O', 'O', 'I-bacterium', 'O', 'B-organization', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'B-location', 'I-location', 'O', 'B-symptom', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-symptom', 'O', 'O']","['B-organization', 'B-animal', 'I-organization', 'O', 'I-virus', 'B-bacterium', 'I-person', 'B-location', 'I-bacterium', 'B-location', 'O', 'O', 'I-symptom', 'I-organization', 'I-organization', 'O', 'O', 'I-animal', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-organization', 'O', 'O', 'O', 'B-person', 'B-person', 'I-bacterium', 'B-organization', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'B-location', 'I-location', 'B-time', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
335,"The week - on - week trend in Epsom and Ewell is down by 38 per cent and the latest infection rate is 249.3 cases per 100,000 people .","O O O O O O O O B-location O B-location O O O O O O O O O O O O B-person I-person O O O O
","['The', 'week', '-', 'on', '-', 'week', 'trend', 'in', 'Epsom', 'and', 'Ewell', 'is', 'down', 'by', '38', 'per', 'cent', 'and', 'the', 'latest', 'infection', 'rate', 'is', '249.3', 'cases', 'per', '100,000', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-time', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-symptom', 'I-person', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'I-product', 'O', 'O', 'O', 'I-disease', 'B-location', 'O', 'B-location', 'B-time', 'O', 'I-person', 'I-organization', 'O', 'B-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']","['O', 'I-person', 'O', 'O', 'O', 'B-virus', 'O', 'O', 'B-bacterium', 'O', 'B-location', 'O', 'I-time', 'B-time', 'O', 'I-time', 'O', 'O', 'O', 'I-person', 'O', 'O', 'O', 'B-person', 'B-disease', 'O', 'I-organization', 'O', 'O']"
336,"Dr . Deena Hinshaw , Alberta's chief medical officer of health , said "" many more deaths "" recently in Alberta demonstrate the continued importance of immunizations .","O O B-person I-person O B-location O O O O O O O O O O O O O O B-location O O O O O O O
","['Dr', '.', 'Deena', 'Hinshaw', ',', ""Alberta's"", 'chief', 'medical', 'officer', 'of', 'health', ',', 'said', '""', 'many', 'more', 'deaths', '""', 'recently', 'in', 'Alberta', 'demonstrate', 'the', 'continued', 'importance', 'of', 'immunizations', '.']","['O', 'O', 'B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'I-disease', 'O', 'O', 'B-organization', 'O']","['O', 'I-person', 'B-person', 'I-person', 'B-bacterium', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-person', 'I-person', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-location', 'O', 'O', 'B-product', 'B-disease', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'I-animal', 'O', 'O']"
337,"The incidence index for the new crown , officially used in Germany to monitor the severity of the new crown epidemic ( cumulative new diagnoses per 100,000 population for seven days ) , rose to 75.7 on the same day .","O O O O O B-disease I-disease O O O O B-location O O O O O O B-disease I-disease O O O O O O O O O O O O O O O O O O O O O
","['The', 'incidence', 'index', 'for', 'the', 'new', 'crown', ',', 'officially', 'used', 'in', 'Germany', 'to', 'monitor', 'the', 'severity', 'of', 'the', 'new', 'crown', 'epidemic', '(', 'cumulative', 'new', 'diagnoses', 'per', '100,000', 'population', 'for', 'seven', 'days', ')', ',', 'rose', 'to', '75.7', 'on', 'the', 'same', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'I-animal', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'O', 'O', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-virus', 'O', 'O', 'O', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'B-symptom', 'I-time', 'O', 'O', 'I-person', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'I-product', 'O']","['O', 'I-symptom', 'O', 'O', 'O', 'B-disease', 'B-product', 'O', 'O', 'O', 'O', 'B-location', 'B-location', 'O', 'O', 'O', 'I-organization', 'O', 'B-disease', 'I-disease', 'O', 'O', 'O', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
338,Those who do need to leave must submit an application to the chief of the grid and submit it to the village committee for approval .,"O O O O O O O O O O O O B-person O O O O O O O O O O O O O
","['Those', 'who', 'do', 'need', 'to', 'leave', 'must', 'submit', 'an', 'application', 'to', 'the', 'chief', 'of', 'the', 'grid', 'and', 'submit', 'it', 'to', 'the', 'village', 'committee', 'for', 'approval', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-disease', 'O', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-virus', 'O', 'O', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'I-time', 'I-disease', 'O', 'O']","['O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'I-bacterium', 'O', 'B-person', 'I-location', 'O', 'O', 'O', 'O', 'B-time', 'I-animal', 'O', 'O', 'O', 'O', 'O', 'O']"
339,More than 24 million Spaniards are fully vaccinated .,"O O B-person I-person I-person O O O O
","['More', 'than', '24', 'million', 'Spaniards', 'are', 'fully', 'vaccinated', '.']","['O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O']","['O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'I-person']","['O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O']","['B-animal', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O']","['O', 'B-organization', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'I-animal']"
340,"Your Varian claim has not yet existed in Indonesia the Ministry of Health ( Kemenkes ) , claiming the mutation of the SARS - CoV-2 B . 1,621 , or the one known by your variant has not been identified in Indonesia until now .","O O O O O O O O B-location O B-organization I-organization I-organization I-organization I-organization I-organization O O O O O O B-virus I-virus I-virus I-virus O O O O O O O O O O O O O O O B-location O O O
","['Your', 'Varian', 'claim', 'has', 'not', 'yet', 'existed', 'in', 'Indonesia', 'the', 'Ministry', 'of', 'Health', '(', 'Kemenkes', ')', ',', 'claiming', 'the', 'mutation', 'of', 'the', 'SARS', '-', 'CoV-2', 'B', '.', '1,621', ',', 'or', 'the', 'one', 'known', 'by', 'your', 'variant', 'has', 'not', 'been', 'identified', 'in', 'Indonesia', 'until', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O']","['O', 'B-virus', 'O', 'O', 'O', 'O', 'O', 'I-person', 'B-location', 'O', 'B-organization', 'I-organization', 'I-organization', 'I-organization', 'B-product', 'I-organization', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'I-virus', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-product', 'O', 'B-location', 'O', 'O', 'O']","['O', 'O', 'O', 'I-animal', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'I-organization', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'I-virus', 'O', 'B-bacterium', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'O', 'O', 'I-location', 'I-symptom', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-product', 'I-virus', 'O', 'O', 'B-location', 'O', 'B-organization', 'B-animal', 'I-bacterium', 'I-organization', 'I-organization', 'I-organization', 'I-product', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'I-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'B-location', 'O', 'O', 'O']"
341,"Mr Andrews said research has shown masks were the ' greatest contributing factor ' to the state beating its second wave last year , and would be vital to combatting the highly infectious Indian Delta strain .","O B-person O O O O B-product O O O O O O O O O O O O O O O O O O O O O O O O O O B-virus I-virus I-virus O
","['Mr', 'Andrews', 'said', 'research', 'has', 'shown', 'masks', 'were', 'the', ""'"", 'greatest', 'contributing', 'factor', ""'"", 'to', 'the', 'state', 'beating', 'its', 'second', 'wave', 'last', 'year', ',', 'and', 'would', 'be', 'vital', 'to', 'combatting', 'the', 'highly', 'infectious', 'Indian', 'Delta', 'strain', '.']","['O', 'B-person', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'O']","['O', 'B-person', 'O', 'B-disease', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-location', 'I-virus', 'O']","['O', 'B-person', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'O']","['O', 'B-person', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'I-virus', 'O', 'O', 'B-symptom', 'O', 'O', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'O']","['O', 'B-person', 'B-symptom', 'O', 'O', 'I-location', 'B-product', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'I-virus', 'I-virus', 'B-organization']"
