,tweets_tok,ner_BIO_full,tweets_full_text,ner_BIO_full_text
10,"['RT', '@Hatshepsutely', ':', '@adamlambert', 'please', ',', 'oh', 'please', 'wear', 'the', 'infamous', 'beach', 'hat', 'tonight', 'during', 'your', 'encore', '(', 'in', 'lieu', 'of', 'a', 'rasta', 'wig)', '.', '&lt;', '3333']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","RT @Hatshepsutely : @adamlambert please , oh please wear the infamous beach hat tonight during your encore ( in lieu of a rasta wig) . &lt; 3333",O O O O O O O O O O O O O O O O O O O O O O O O O O O
11,"['When', 'I', 'said', 'good', 'night', ',', 'I', 'ended', 'up', 'watching', 'movies', 'on', 'my', 'laptop', '.', 'Yep', '.', 'No', 'sleep', 'again', '.', 'Time', 'to', 'take', 'a', 'bath', 'now', '!', 'It', ""'s"", 'gonna', 'be', 'a', 'looong', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","When I said good night , I ended up watching movies on my laptop . Yep . No sleep again . Time to take a bath now ! It 's gonna be a looong day .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12,"[""'On"", 'set', 'filming', 'Chris', '""', 'Rainy', 'Days', '""', 'video', '.', 'This', 'is', 'the', 'final', 'scene', 'then', 'we', 'can', 'finally', 'edit', 'it', "".'""]","['O', 'O', 'O', 'B-person', 'O', 'B-other', 'I-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","'On set filming Chris "" Rainy Days "" video . This is the final scene then we can finally edit it .'",O O O B-person O B-other I-other O O O O O O O O O O O O O O O
13,"['@EimearJedward', 'auditioning', 'on', 'sunday', ':)', 'xo']","['O', 'O', 'O', 'O', 'O', 'O']",@EimearJedward auditioning on sunday :) xo,O O O O O O
14,"['@SheSo_Major', 'they', 'giving', 'the', 'nigga', 'a', 'realllllll', 'hard', 'time', 'about', 'it', 'lmfaoo', 'as', 'they', 'should', 'and', 'now', 'his', 'feelings', 'are', 'hurt', '...', 'i', 'like', 'him', 'tho', 'LMAO']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@SheSo_Major they giving the nigga a realllllll hard time about it lmfaoo as they should and now his feelings are hurt ... i like him tho LMAO,O O O O O O O O O O O O O O O O O O O O O O O O O O O
15,"['The', 'Wolves', 'to', 'host', 'the', 'Lions', 'for', 'game', 'time', '!', 'Follow', 'us', 'for', 'scores', 'and', 'updates', 'throughout', 'the', 'game', '!']","['B-sportsteam', 'I-sportsteam', 'O', 'O', 'B-sportsteam', 'I-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",The Wolves to host the Lions for game time ! Follow us for scores and updates throughout the game !,B-sportsteam I-sportsteam O O B-sportsteam I-sportsteam O O O O O O O O O O O O O O
16,"['Man', 'gets', '20', 'years', 'in', 'murder', 'plot', 'against', 'judge', 'http://bit.ly/agB9iL']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Man gets 20 years in murder plot against judge http://bit.ly/agB9iL,O O O O O O O O O O
17,"['...', 'around', 'all', 'day', 'isnt', 'good', 'for', 'you', ',', 'least', 'i', 'get', 'home-relaxing', 'time', ',', 'thursday', 'and', 'frees', 'to', 'keeep', 'me', 'sane', ':)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","... around all day isnt good for you , least i get home-relaxing time , thursday and frees to keeep me sane :)",O O O O O O O O O O O O O O O O O O O O O O O
18,"['Today', 'is', 'the', 'COMPLETE', 'OPPOSITE', 'of', 'yesterday', '-', '.', '-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Today is the COMPLETE OPPOSITE of yesterday - . -,O O O O O O O O O O
19,"['#SIUC', 'Whats', 'the', 'Plan', 'For', 'tonight', '??', 'Whos', 'Goin', 'to', 'the', 'BLAST']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility']",#SIUC Whats the Plan For tonight ?? Whos Goin to the BLAST,O O O O O O O O O O B-facility I-facility
20,"['Just', 'changed', 'my', 'twitter', 'background', ',', 'check', 'it', 'out', '!', 'Found', 'it', 'at', 'http://twitrounds.com', '..', 'September', '17', ',', '2010', ',', '2:52', 'pm']","['O', 'O', 'O', 'B-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Just changed my twitter background , check it out ! Found it at http://twitrounds.com .. September 17 , 2010 , 2:52 pm",O O O B-company O O O O O O O O O O O O O O O O O O
21,"['time', 'to', 'get', 'some', 'sleep', '.', 'been', 'out', 'from', '4pm', 'till', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",time to get some sleep . been out from 4pm till now .,O O O O O O O O O O O O O
22,"[""'Come"", 'to', '""', 'MRB', '@', '61', 'Roadhouse', 'BBQ', '""', 'Sunday', ',', 'October', '10', 'from', '12:00', 'pm', 'to', '4:00', 'pm', '.', 'We', 'are', 'playing', 'for', 'the', '61', 'Roadhouse', '...', ""http://fb.me/G1FbJGw1'""]","['O', 'O', 'O', 'B-other', 'I-other', 'I-other', 'I-other', 'I-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","'Come to "" MRB @ 61 Roadhouse BBQ "" Sunday , October 10 from 12:00 pm to 4:00 pm . We are playing for the 61 Roadhouse ... http://fb.me/G1FbJGw1'",O O O B-other I-other I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O
23,"['RT', '@OMBieberJokes', ':', 'Little', 'Girl', ':', 'Santa', 'Is', 'So', 'Awesome', '!', 'Me', ':', 'No', 'Little', 'Girl', '...', 'You', 'Only', 'Use', 'The', 'Word', '""', 'Awesome', '""', 'When', 'You', 'Are', 'Referring', 'To', 'Just', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","RT @OMBieberJokes : Little Girl : Santa Is So Awesome ! Me : No Little Girl ... You Only Use The Word "" Awesome "" When You Are Referring To Just ...",O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O
24,"['Today', '=', 'Morton', ""'s"", 'Salt', 'motto', '+', 'Murphy', ""'s"", 'Law']","['O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'B-other', 'I-other', 'I-other']",Today = Morton 's Salt motto + Murphy 's Law,O O B-product I-product I-product O O B-other I-other I-other
25,"['@FLAM3Z130', 'half', 'the', 'time', 'in', 'inglewood', 'the', 'other', 'half', 'in', 'mv', '...', 'where', 'u', 'been']","['O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O']",@FLAM3Z130 half the time in inglewood the other half in mv ... where u been,O O O O O B-geo-loc O O O O B-geo-loc O O O O
26,"['RT', '@shan7792', ':', 'its', 'annoying', 'tht', 'ppl', 'ask', 'me', 'what', 'race', 'i', 'am', 'before', 'they', 'ask', 'me', 'my', 'name', '-_-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @shan7792 : its annoying tht ppl ask me what race i am before they ask me my name -_-,O O O O O O O O O O O O O O O O O O O O
27,"['My', 'boobs', 'look', 'HUGE', 'today', '!', '=D']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",My boobs look HUGE today ! =D,O O O O O O O
28,"['@tanyahowse', 'ok', 'this', 'may', 'sound', 'stupid', 'but', 'can', 'u', 'tell', 'them', 'jedsweemonster', 'says', 'hi', "":'"", ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@tanyahowse ok this may sound stupid but can u tell them jedsweemonster says hi :' ),O O O O O O O O O O O O O O O O
29,"['Serious', 'Eats', ':', 'Leftovers', ':', 'The', 'Day', ""'s"", 'Stray', 'Links', '#Food', 'http://portfo.li/t/7/rjE']","['B-company', 'I-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Serious Eats : Leftovers : The Day 's Stray Links #Food http://portfo.li/t/7/rjE,B-company I-company O O O O O O O O O O
30,"['What', 'is', 'it', 'with', 'people', 'and', 'punctuality', '?', 'I', 'used', 'to', 'be', 'that', 'guy', 'and', 'honestly', ',', 'it', ""'s"", 'a', 'haze', 'now', '.', 'Just', 'be', 'on', 'time', '.', 'It', ""'s"", 'not', 'like', 'its', 'a', 'surprise', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","What is it with people and punctuality ? I used to be that guy and honestly , it 's a haze now . Just be on time . It 's not like its a surprise .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
31,"['he', 'likes', 'prince', ',', 'paul', 'simon', ',', 'and', 'o.d.b.', 'i', 'may', 'have', 'found', 'my', 'soul', 'mate', '.']","['O', 'O', 'B-person', 'O', 'B-person', 'I-person', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","he likes prince , paul simon , and o.d.b. i may have found my soul mate .",O O B-person O B-person I-person O O B-person O O O O O O O O
32,"['Come', 'to', '""', '6th', 'Biannual', '24', 'Hour', 'Prayer', 'Focus', '""', 'Saturday', ',', 'November', '13', 'from', '10:00', 'am', 'to', '1:00', 'pm', '.', 'Mark', 'the', 'Date', '!!!', 'http://fb.me/JyYXPmql']","['O', 'O', 'O', 'B-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Come to "" 6th Biannual 24 Hour Prayer Focus "" Saturday , November 13 from 10:00 am to 1:00 pm . Mark the Date !!! http://fb.me/JyYXPmql",O O O B-other I-other I-other I-other I-other I-other O O O O O O O O O O O O O O O O O
33,"['@RaniLovezYou', 'Yeah', ',', 'he', ""'s"", 'had', 'a', 'few', 'shows', 'over', 'here', '.', 'Great', 'chef', ',', 'glad', 'I', ""wasn't"", 'disappointed', '!', 'His', 'wife', 'gave', 'birth', 'a', 'couple', 'of', 'days', 'ago', ',', 'aww', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@RaniLovezYou Yeah , he 's had a few shows over here . Great chef , glad I wasn't disappointed ! His wife gave birth a couple of days ago , aww .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
34,"[""I'm"", 'tired', 'after', 'school', 'today', '!']","['O', 'O', 'O', 'O', 'O', 'O']",I'm tired after school today !,O O O O O O
35,"['It', ""'s"", 'supposed', 'to', 'rain', 'in', 'The', 'Bay', 'on', 'Sunday', '...', 'well', ',', 'weather.com', 'says', '&quot;', 'showers', '&quot;.', 'Whatever', ',', 'same', 'thing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'I-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","It 's supposed to rain in The Bay on Sunday ... well , weather.com says &quot; showers &quot;. Whatever , same thing .",O O O O O O B-geo-loc I-geo-loc O O O O O O O O O O O O O O O
36,"['cant', 'wait', 'to', 'see', 'my', 'beautiful', 'neice', 'nx', 'week', ',', 'gonna', 'spoil', 'her', 'rotton']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","cant wait to see my beautiful neice nx week , gonna spoil her rotton",O O O O O O O O O O O O O O
37,"['GuitarNews', ':', 'RockHouse', ':', 'The', 'Weekend', 'Read', 'For', 'Sept', '.', '17th', '2010', '-', 'Guitar', 'Lessons', ',', 'Articles', 'and', 'More', ':', 'http://bit.ly/bmHnln']","['B-other', 'O', 'B-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","GuitarNews : RockHouse : The Weekend Read For Sept . 17th 2010 - Guitar Lessons , Articles and More : http://bit.ly/bmHnln",B-other O B-other O O O O O O O O O O O O O O O O O O
38,"['What', 'a', 'productive', 'day', '.', 'Not', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",What a productive day . Not .,O O O O O O O
39,"['right', '.', 'Five', 'Star', 'Day', 'came', 'out', 'in', 'may', 'this', 'year', '.', 'why', ""haven't"", 'ANY', 'trailers', 'come', 'out', 'here', 'in', 'Scotland', 'yet', '?', ""i've"", 'waited', 'about', 'a', 'year', 'for', 'this', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",right . Five Star Day came out in may this year . why haven't ANY trailers come out here in Scotland yet ? i've waited about a year for this !,O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O
40,"['@jeffpulver', '@wildman94', '@MusicIsGood4U', 'thanks', 'for', 'hitting', 'me', 'and', '@shoewolf', 'up', '.', 'Let', 'me', 'know', 'when', 'that', 'DM', 'with', 'all', 'the', 'info', 'has', 'been', 'sent', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@jeffpulver @wildman94 @MusicIsGood4U thanks for hitting me and @shoewolf up . Let me know when that DM with all the info has been sent .,O O O O O O O O O O O O O O O O O O O O O O O O O
41,"['is', 'up', 'and', 'ready', 'for', 'his', 'last', 'day', 'on', 'the', 'punt', 'until', 'Stakes', 'Day', '...', '#sadbuttrue']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-other', 'I-other', 'O', 'O']",is up and ready for his last day on the punt until Stakes Day ... #sadbuttrue,O O O O O O O O O O O O B-other I-other O O
42,"['@alealshinn', '@BambingBling', '~~~', '@sunchips', 'this', 'is', 'the', 'second', 'time', 'they', 'have', 'messed', 'up', '....', 'about', 'to', 'give', 'up', 'on', 'them']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@alealshinn @BambingBling ~~~ @sunchips this is the second time they have messed up .... about to give up on them,O O O O O O O O O O O O O O O O O O O O
43,"['@Daniim92', 'tks', ':D', 'obviously', 'its', 'one', 'of', 'the', 'happiest', 'day', 'in', 'my', 'life', 'lol']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@Daniim92 tks :D obviously its one of the happiest day in my life lol,O O O O O O O O O O O O O O
44,"['RT', '@mrdaveyd', ':', 'PG&lt;E', 'donated', '35G', 'to', 'state', 'committe', 'chairman', 'investigating', 'them', '1day', 'after', 'explosion', 'in', '#sanBrunofire', '-Who', 'is', 'still', 'defendi', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @mrdaveyd : PG&lt;E donated 35G to state committe chairman investigating them 1day after explosion in #sanBrunofire -Who is still defendi ...,O O O O O O O O O O O O O O O O O O O O O O
45,"['@coulditbeJenG', 'It', 'was', '20', 'years', 'ago', '.', ""They're"", 'coming', 'after', 'me', ',', 'I', 'just', 'know', 'it', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@coulditbeJenG It was 20 years ago . They're coming after me , I just know it .",O O O O O O O O O O O O O O O O O
46,"['@peasmom3', 'and', 'as', 'if', 'I', 'was', ""n't"", 'obsessed', 'with', 'AFL', 'already', ',', 'after', 'Sunday', 'I', ""'ve"", 'gotten', 'even', 'more', 'so', '!!', 'I', ""'m"", 'so', 'obsessed', 'with', 'his', 'sexiness', '!!!!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@peasmom3 and as if I was n't obsessed with AFL already , after Sunday I 've gotten even more so !! I 'm so obsessed with his sexiness !!!!",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
47,"['Of', 'course', ',', 'I', 'was', 'stunned', '.', 'This', ',', 'after', 'all', ',', 'was', 'an', 'inanimate', 'object', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Of course , I was stunned . This , after all , was an inanimate object .",O O O O O O O O O O O O O O O O O
48,"['Halo', 'Reach', 'was', 'a', 'bit', 'crap', 'tonight']","['B-product', 'I-product', 'O', 'O', 'O', 'O', 'O']",Halo Reach was a bit crap tonight,B-product I-product O O O O O
49,"['So', 'here', 'in', 'Belgium', 'its', 'now', '7minutes', 'before', 'midnight', ',,', 'Tell', 'me', 'how', 'late', 'it', 'is', 'were', 'you', 'live', ':D']","['O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","So here in Belgium its now 7minutes before midnight ,, Tell me how late it is were you live :D",O O O B-geo-loc O O O O O O O O O O O O O O O O
50,"['We', 'are', 'tied', 'as', 'the', '5th', 'band', 'to', 'compete', 'in', 'South', '107', ""'s"", 'Battle', 'of', 'the', 'Bands', 'next', 'Friday', 'for', 'the', 'spot', 'to', 'open', 'for', '...', 'http://fb.me/IxhGnUhs']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-company', 'I-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",We are tied as the 5th band to compete in South 107 's Battle of the Bands next Friday for the spot to open for ... http://fb.me/IxhGnUhs,O O O O O O O O O O B-company I-company O O O O O O O O O O O O O O O
51,"['RT', '@eljmayes', ':', 'Ladbrokes', 'Labour', 'Leadership', 'Market-', 'http://bit.ly/cD3Rn8', 'Ed', 'Miliband', ""'s"", 'odds', 'have', 'shortened', 'significantly', 'in', 'the', 'last', 'week', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @eljmayes : Ladbrokes Labour Leadership Market- http://bit.ly/cD3Rn8 Ed Miliband 's odds have shortened significantly in the last week .,O O O O O O O O B-person I-person O O O O O O O O O O
52,"['@Zerinaakers', 'talking', 'about', 'as', 'far', 'as', 'shooting', 'for', 'location', 'its', 'going', 'to', 'be', 'on', '#Vh1', 'so', 'by', 'the', 'end', 'of', 'the', 'month', 'i', 'should', 'know', 'something']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something,O O O O O O O O O O O O O O B-other O O O O O O O O O O O
53,"['First', 'Day', 'of', 'Autumn', 'Networking', 'Mixer', 'at', 'Dick', ""'s"", 'Carpet', 'next', 'T', '...', 'http://conta.cc/ap95gL', 'via', '#constantcontact']","['B-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'O', 'B-facility', 'I-facility', 'I-facility', 'O', 'O', 'O', 'O', 'O', 'O']",First Day of Autumn Networking Mixer at Dick 's Carpet next T ... http://conta.cc/ap95gL via #constantcontact,B-other I-other I-other I-other I-other I-other O B-facility I-facility I-facility O O O O O O
54,"['Why', 'hate', 'on', 'somebody', 'for', 'doing', 'well', 'when', 'you', 'can', 'simply', 'say', 'great', 'job', 'and', 'move', 'on', '..', '[Haters', 'u', 'can', 'kill', 'yourself', ']', 'cuz', 'ur', 'losers']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Why hate on somebody for doing well when you can simply say great job and move on .. [Haters u can kill yourself ] cuz ur losers,O O O O O O O O O O O O O O O O O O O O O O O O O O O
55,"['Wat', 'a', 'day', 'today', '.', 'But', 'oh', 'well', 'i', 'love', 'her', '*Danielle', 'ily*']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Wat a day today . But oh well i love her *Danielle ily*,O O O O O O O O O O O O O
56,"['@Vivianna_loves', 'I', 'just', 'bought', 'Dior', 'mascara', 'for', 'the', 'first', 'time', '.....', 'its', 'the', 'only', 'mascara', 'that', ""doesn't"", 'make', 'me', 'wanna', 'wear', 'lashes', '.']","['O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@Vivianna_loves I just bought Dior mascara for the first time ..... its the only mascara that doesn't make me wanna wear lashes .,O O O O B-product O O O O O O O O O O O O O O O O O O
57,"['realy', 'bored', 'smack', 'down', 'tonite', 'yay', '!!', '(', ':', 'mood', ':', 'bored-_-', 'ha', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",realy bored smack down tonite yay !! ( : mood : bored-_- ha !,O O O O O O O O O O O O O O
